City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
2022572,Khatanga,RU,71.9667,102.5,-6.02,91,16,5.28
2017155,Saskylakh,RU,71.9167,114.0833,-4.9,92,100,2.06
1015776,Bredasdorp,ZA,-34.5322,20.0403,15.62,75,100,6.15
110690,Abhā,SA,18.2164,42.5053,20.14,46,0,0.0
2112309,Katsuura,JP,35.1333,140.3,18.17,72,100,2.97
3418910,Upernavik,GL,72.7868,-56.1549,-8.8,90,30,2.82
4311963,Valley Station,US,38.1112,-85.8702,24.07,80,11,1.91
2015306,Tiksi,RU,71.6872,128.8694,-4.3,83,18,3.59
5983720,Iqaluit,CA,63.7506,-68.5145,-1.15,100,100,8.23
4944903,Nantucket,US,41.2835,-70.0995,8.82,83,0,11.32
2160735,Lakes Entrance,AU,-37.8811,147.981,13.98,66,100,1.66
3874787,Punta Arenas,CL,-53.15,-70.9167,6.06,70,75,3.6
3899695,Ancud,CL,-41.8697,-73.8203,8.53,87,100,2.36
6201424,Mataura,NZ,-46.1927,168.8643,14.15,61,11,1.54
3833367,Ushuaia,AR,-54.8,-68.3,5.81,70,0,1.03
2163355,Hobart,AU,-42.8794,147.3294,11.79,77,0,4.63
5866583,Saint Paul Harbor,US,57.79,-152.4072,9.73,32,0,8.23
2189343,Kaeo,NZ,-35.1,173.7833,18.51,64,0,4.05
3406318,Barra do Corda,BR,-5.5,-45.25,22.47,92,100,1.58
3883457,Lebu,CL,-37.6167,-73.65,10.92,77,100,2.85
3374083,Bathsheba,BB,13.2167,-59.5167,27.34,74,40,8.23
5122534,Jamestown,US,42.097,-79.2353,15.14,67,73,2.26
5924351,Clyde River,CA,70.4692,-68.5914,-9.96,74,0,2.59
624785,Navahrudak,BY,53.6,25.8333,5.62,72,100,2.78
3840300,Presidencia Roque Sáenz Peña,AR,-26.7852,-60.4388,18.84,73,100,1.53
2123814,Leningradskiy,RU,69.3833,178.4167,1.61,95,13,2.4
4020109,Atuona,PF,-9.8,-139.0333,26.05,68,8,8.9
3372745,Rabo de Peixe,PT,37.8,-25.5833,18.49,73,75,2.57
1308204,Myanaung,MM,18.2833,95.3167,27.75,68,93,3.49
3421719,Narsaq,GL,60.9167,-46.05,6.12,87,100,2.03
5880054,Barrow,US,71.2906,-156.7887,-3.99,74,100,5.66
3156980,Florø,NO,61.5996,5.0328,8.98,87,100,8.75
2075265,Busselton,AU,-33.65,115.3333,17.34,75,100,1.61
2018735,Nyurba,RU,63.2842,118.3319,5.21,69,85,2.26
5106841,Albany,US,42.6001,-73.9662,16.53,49,0,2.72
5955902,Fort Nelson,CA,58.8053,-122.7002,11.5,55,76,1.74
2258261,Dolisie,CG,-4.1997,12.6739,22.89,98,100,1.51
5563839,Fortuna,US,40.5982,-124.1573,11.95,66,75,5.66
548622,Kinel’-Cherkassy,RU,53.4706,51.4743,5.45,96,100,6.54
3670218,San Andrés,CO,12.5847,-81.7006,28.01,83,20,3.09
5525584,Lubbock,US,33.6001,-101.8338,29.04,54,75,9.77
